Stock1,Stock2,Direction,EntryDate,ExitDate,HoldingDays,EntryZ,ExitZ,TradeReturnPct
BANKBARODA,CANBK,SHORT_SPREAD,2022-11-10,2022-12-08,21,2.3668631210773237,3.9935610259984244,-6.9081
BANKBARODA,CANBK,SHORT_SPREAD,2022-12-12,2023-01-25,33,3.3889969084682083,-0.2047068875159827,5.2136
BANKBARODA,CANBK,SHORT_SPREAD,2023-04-19,2023-08-03,75,2.2748393786194363,-0.09561287592748487,-3.7297
BANKBARODA,CANBK,LONG_SPREAD,2023-10-27,2023-12-15,34,-2.590570931402293,0.1950626635375148,2.0538
BANKBARODA,CANBK,SHORT_SPREAD,2024-02-02,2024-02-07,4,1.5170241997795002,-1.1247497250050238,6.5592
BANKBARODA,CANBK,LONG_SPREAD,2024-04-18,2024-04-30,9,-1.3173784730038098,0.32359067514341555,3.256
BANKBARODA,CANBK,SHORT_SPREAD,2024-06-04,2024-06-04,1,-0.9973770284686028,-0.9973770284686028,4.0278
BANKBARODA,CANBK,SHORT_SPREAD,2024-06-14,2024-07-09,17,2.006352190354575,-0.22163419608725102,1.8977
BANKBARODA,CANBK,LONG_SPREAD,2024-07-26,2024-08-20,17,-1.84888979674128,0.012772707514357575,2.2801
BANKBARODA,CANBK,SHORT_SPREAD,2024-10-07,2024-11-21,32,2.4383321004846126,-0.14287792920259276,0.2175
BANKBARODA,CANBK,LONG_SPREAD,2025-01-07,2025-03-17,49,-1.8020297527556297,0.13352339101508923,0.1443
BANKBARODA,CANBK,SHORT_SPREAD,2025-03-28,2025-05-06,23,2.6569342290086735,-0.18429963161260715,2.6303
BANKBARODA,CANBK,LONG_SPREAD,2025-11-13,2026-01-02,36,-2.3960558246556993,0.29304473689077193,0.2699
BANKBARODA,CANBK,LONG_SPREAD,2026-02-03,2026-02-04,2,-0.8151883864568947,0.21549577532368205,2.2292
BANKBARODA,CANBK,SHORT_SPREAD,2026-02-27,2026-03-19,14,2.3667793230527976,-0.009171578141645924,2.1574
BANKBARODA,CANBK,LONG_SPREAD,2026-04-01,2026-05-11,27,-2.236564738378806,0.17675933585659165,1.9259
BANKBARODA,CANBK,SHORT_SPREAD,2026-06-12,2026-07-03,16,2.185426440544664,-1.0795344498502797,3.2669
